name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,Unknown,3.0,Maruti
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,5.0,Chevrolet
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,2.0,Toyota
Maruti Ciaz VXi Plus,2015.0,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,5.0,Maruti
Hyundai Venue SX Opt Diesel,2019.0,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,1.0,Hyundai
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,,33000.0,Diesel,Individual,Manual,Second Owner,7.0,Chevrolet
Unknown,2014.0,1964999.0,28000.0,Diesel,Unknown,Automatic,First Owner,6.0,Unknown
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,7.0,Mercedes-Benz
Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,2.0,Maruti
Unknown,,1190000.0,175900.0,Diesel,Dealer,Automatic,First Owner,,Unknown
Honda City V MT,2018.0,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,2.0,Honda
Tata Tigor 1.2 Revotron XT,2018.0,525000.0,,Petrol,Individual,Manual,Unknown,2.0,Tata
Audi A6 2.0 TDI  Design Edition,2013.0,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,7.0,Audi
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012.0,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,8.0,Mercedes-Benz
Skoda Superb Ambition 2.0 TDI CR AT,2011.0,450000.0,,Diesel,Dealer,Unknown,Second Owner,9.0,Skoda
Toyota Corolla Altis G AT,2016.0,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,4.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,5.0,Toyota
Jeep Compass 1.4 Sport Plus BSIV,,1400000.0,10000.0,Petrol,Unknown,Manual,First Owner,,Jeep
Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000.0,119000.0,Petrol,Dealer,Unknown,First Owner,10.0,Mercedes-Benz
Unknown,2014.0,229999.0,60000.0,Unknown,Individual,Unknown,Fourth & Above Owner,6.0,Unknown
BMW 3 Series 320d Sport Line,2013.0,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,7.0,BMW
Audi Q7 35 TDI Quattro Premium,2009.0,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,11.0,Audi
Hyundai Elantra CRDi S,2012.0,625000.0,40000.0,Diesel,Individual,Manual,First Owner,8.0,Hyundai
Mahindra Scorpio 1.99 S10,2014.0,1050000.0,50000.0,Diesel,Individual,Unknown,First Owner,6.0,Mahindra
Honda City i DTEC V,,560000.0,74000.0,Diesel,Individual,Manual,Second Owner,,Honda
Maruti Wagon R VXI BS IV with ABS,2014.0,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,6.0,Maruti
Maruti Wagon R VXI BS IV,,275000.0,60000.0,Petrol,Individual,Manual,Unknown,,Maruti
Mahindra Scorpio LX,2009.0,411000.0,120000.0,Diesel,Unknown,Manual,Second Owner,11.0,Mahindra
Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,11.0,Hyundai
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,1.0,Hyundai
Maruti Alto LXi,,100000.0,80000.0,Petrol,Individual,Manual,Unknown,,Maruti
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,3.0,Maruti
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,Unknown,Manual,First Owner,2.0,Maruti
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,2.0,Hyundai
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,2.0,Maruti
Unknown,2016.0,665000.0,46000.0,Diesel,Unknown,Manual,Unknown,4.0,Unknown
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,6.0,Hyundai
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,8.0,Maruti
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,24.0,Mahindra
Honda City i DTEC VX,2014.0,675000.0,90000.0,Diesel,Dealer,Manual,Unknown,6.0,Honda
Maruti Wagon R VXI BS IV,2013.0,,80000.0,Petrol,Dealer,Manual,First Owner,7.0,Maruti
Tata Indica DLS,2005.0,70000.0,80000.0,Diesel,Individual,Manual,First Owner,15.0,Tata
Hyundai EON Magna Plus,2014.0,240000.0,,Unknown,Dealer,Manual,Second Owner,6.0,Hyundai
Toyota Etios GD,2014.0,525000.0,92000.0,Diesel,Dealer,Unknown,First Owner,6.0,Toyota
Maruti Alto LXi,2009.0,151000.0,66764.0,Unknown,Dealer,Manual,Second Owner,11.0,Maruti
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,11.0,Maruti
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Diesel,Individual,Manual,Second Owner,10.0,Chevrolet
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Diesel,Individual,Manual,First Owner,9.0,Toyota
Mahindra Scorpio 1.99 S6 Plus,,570000.0,60000.0,Diesel,Individual,Manual,First Owner,,Mahindra
Unknown,2018.0,300000.0,31000.0,Petrol,Individual,Manual,First Owner,2.0,Unknown
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,Unknown,Individual,Manual,First Owner,13.0,Tata
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Diesel,Unknown,Manual,Third Owner,11.0,Toyota
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesel,Individual,Unknown,Fourth & Above Owner,6.0,Tata
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,14.0,Maruti
Ford EcoSport 1.5 Diesel Titanium BSIV,,925000.0,,Diesel,Individual,Manual,First Owner,,Ford
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Diesel,Individual,Manual,First Owner,2.0,Maruti
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,Unknown,Automatic,Second Owner,13.0,Honda
Hyundai i10 Sportz 1.2,2010.0,,63000.0,Petrol,Individual,Manual,Second Owner,10.0,Hyundai
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,6.0,Skoda
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,15.0,Hyundai
Unknown,2014.0,650000.0,76000.0,Petrol,Individual,Manual,Second Owner,6.0,Unknown
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Diesel,Individual,Manual,First Owner,5.0,Hyundai
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Diesel,Individual,Manual,First Owner,1.0,Hyundai
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,4.0,Honda
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Unknown,First Owner,5.0,Honda
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,3.0,Hyundai
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,Diesel,Dealer,Automatic,First Owner,3.0,Mercedes-Benz
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Diesel,Individual,Manual,First Owner,5.0,Mahindra
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Diesel,Individual,Manual,First Owner,7.0,Renault
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,13.0,Hyundai
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,7.0,Mahindra
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,6.0,Audi
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,5.0,Fiat
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Diesel,Unknown,Automatic,First Owner,7.0,Audi
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,3.0,Datsun
Unknown,2013.0,450000.0,50000.0,Unknown,Individual,Manual,First Owner,7.0,Unknown
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesel,Dealer,Unknown,First Owner,7.0,Audi
Unknown,2009.0,210000.0,63500.0,Petrol,Dealer,Automatic,First Owner,11.0,Unknown
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,,Petrol,Dealer,Automatic,First Owner,2.0,Mercedes-Benz
BMW X1 sDrive 20d xLine,2017.0,2750000.0,,Diesel,Individual,Automatic,First Owner,3.0,BMW
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,Unknown,Dealer,Automatic,First Owner,2.0,Volvo
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,12.0,Maruti
BMW 7 Series 730Ld,2012.0,2500000.0,,Diesel,Dealer,Automatic,First Owner,8.0,BMW
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesel,Unknown,Manual,First Owner,3.0,Mahindra
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,Unknown,Individual,Manual,First Owner,10.0,Hyundai
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,Unknown,3.0,Nissan
Mahindra Xylo D4,2018.0,750000.0,87000.0,Diesel,Individual,Manual,First Owner,2.0,Mahindra
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,Unknown,Manual,First Owner,1.0,Hyundai
Renault KWID RXT,2017.0,,16000.0,Petrol,Individual,Manual,First Owner,3.0,Renault
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,8.0,Mahindra
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,Unknown,Manual,Fourth & Above Owner,10.0,Maruti
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,9.0,Maruti
Renault KWID RXT,,350000.0,25000.0,Unknown,Individual,Manual,First Owner,,Renault
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Diesel,Individual,Manual,First Owner,4.0,Hyundai
Maruti Swift Dzire VDI,2014.0,434000.0,,Diesel,Individual,Unknown,Second Owner,6.0,Maruti
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,4.0,Hyundai
Mahindra Scorpio LX BSIV,2014.0,555000.0,,Diesel,Individual,Manual,Second Owner,6.0,Mahindra
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,Unknown,Manual,Second Owner,13.0,Maruti
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,6.0,Maruti
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesel,Individual,Manual,Unknown,7.0,Chevrolet
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,Unknown,Manual,First Owner,16.0,Maruti
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,2.0,Maruti
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,13.0,Maruti
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,8.0,Tata
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesel,Individual,Manual,First Owner,8.0,Toyota
Unknown,2016.0,,70000.0,Diesel,Individual,Manual,Second Owner,4.0,Unknown
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,4.0,Hyundai
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,4.0,Honda
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,,Unknown,Individual,Manual,Second Owner,10.0,Tata
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,,Diesel,Individual,Manual,Third Owner,8.0,Chevrolet
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,Unknown,Dealer,Manual,Unknown,5.0,Chevrolet
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,5.0,Ford
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,,Diesel,Dealer,Manual,First Owner,3.0,Ford
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,5.0,Hyundai
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,22.0,Maruti
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,8.0,Chevrolet
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,Unknown,5.0,Hyundai
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Diesel,Individual,Manual,First Owner,9.0,Tata
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,17.0,Hyundai
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesel,Individual,Manual,First Owner,4.0,Tata
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Unknown,First Owner,15.0,Maruti
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,7.0,Hyundai
Unknown,2015.0,540000.0,,Petrol,Individual,Manual,First Owner,5.0,Unknown
Hyundai i20 1.2 Asta,,700000.0,10000.0,Petrol,Individual,Manual,First Owner,,Hyundai
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Diesel,Individual,Manual,First Owner,5.0,Maruti
Unknown,2016.0,430000.0,80000.0,Diesel,Unknown,Manual,First Owner,4.0,Unknown
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,18.0,Hyundai
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Diesel,Unknown,Manual,First Owner,2.0,Maruti
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,Unknown,Manual,Second Owner,13.0,Hyundai
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,12.0,Hyundai
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,8.0,Mahindra
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesel,Individual,Manual,First Owner,5.0,Chevrolet
Hyundai EON Magna Plus,2012.0,,60000.0,Petrol,Individual,Manual,Unknown,8.0,Hyundai
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,4.0,Renault
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,6.0,Maruti
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,0.0,Maruti
Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,,175000.0,Diesel,Individual,Manual,First Owner,5.0,Chevrolet
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,9.0,Chevrolet
Honda City i VTEC SV,2014.0,620000.0,,Petrol,Individual,Manual,First Owner,6.0,Honda
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesel,Individual,Manual,First Owner,7.0,Honda
Jaguar XJ 5.0 L V8 Supercharged,,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,,Jaguar
Honda Brio E MT,2013.0,,70000.0,Petrol,Individual,Manual,Second Owner,7.0,Honda
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,3.0,Maruti
Tata Indigo CR4,2011.0,150000.0,155500.0,Diesel,Individual,Manual,First Owner,9.0,Tata
Hyundai i10 Asta AT,,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,,Hyundai
Unknown,2016.0,320000.0,40000.0,Petrol,Individual,Manual,First Owner,4.0,Unknown
Maruti Swift VDI BSIV,2015.0,,100000.0,Diesel,Individual,Manual,Third Owner,5.0,Maruti
Maruti Alto LXi,2012.0,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,8.0,Maruti
Unknown,2011.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,9.0,Unknown
Renault Duster 110PS Diesel RxZ,2013.0,,90000.0,Diesel,Individual,Manual,Second Owner,7.0,Renault
Hyundai Santro Xing XG,2006.0,70000.0,110000.0,Petrol,Individual,Unknown,Third Owner,14.0,Hyundai
Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,Petrol,Individual,Manual,Unknown,1.0,Maruti
Maruti 800 AC,2007.0,95000.0,100000.0,Petrol,Individual,Manual,Second Owner,13.0,Maruti
Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,CNG,Individual,Manual,First Owner,0.0,Maruti
Maruti 800 Std BSII,2004.0,,60000.0,Petrol,Individual,Manual,Second Owner,16.0,Maruti
Tata Nano LX SE,2013.0,72000.0,25000.0,Petrol,Individual,Manual,First Owner,7.0,Tata
Hyundai i20 Magna 1.2,,600000.0,25000.0,Petrol,Individual,Manual,First Owner,,Hyundai
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,,Petrol,Individual,Manual,First Owner,5.0,Skoda
Maruti Alto K10 VXI,2018.0,380000.0,22155.0,Petrol,Individual,Manual,First Owner,2.0,Maruti
Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,Petrol,Individual,Manual,First Owner,2.0,Maruti
Maruti Alto LX,2009.0,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,11.0,Maruti
Hyundai i20 Asta,2009.0,,110000.0,Petrol,Individual,Manual,Second Owner,11.0,Hyundai
Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,Petrol,Individual,Manual,First Owner,2.0,Tata
Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,Diesel,Individual,Manual,First Owner,1.0,Mahindra
Maruti Zen D,2003.0,75000.0,100000.0,Diesel,Individual,Manual,Unknown,17.0,Maruti
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,Diesel,Individual,Automatic,First Owner,4.0,Volkswagen
Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,Petrol,Individual,Unknown,First Owner,3.0,Maruti
Honda City 1.5 EXI,2005.0,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,15.0,Honda
Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,Diesel,Unknown,Automatic,First Owner,7.0,Mercedes-Benz
Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,Petrol,Individual,Manual,First Owner,13.0,Maruti
Renault Duster 110PS Diesel RxZ,2012.0,,110000.0,Diesel,Individual,Manual,Unknown,8.0,Renault
Ford Figo Diesel Titanium,2010.0,170000.0,,Diesel,Individual,Manual,Third Owner,10.0,Ford
Ford Figo Diesel Titanium,2011.0,190000.0,90000.0,Diesel,Individual,Manual,Third Owner,9.0,Ford
Maruti Swift Dzire VDi,2009.0,250000.0,150000.0,Diesel,Individual,Unknown,Third Owner,11.0,Maruti
Mahindra Xylo E4,2009.0,229999.0,230000.0,Diesel,Unknown,Manual,Unknown,11.0,Mahindra
Maruti Esteem Vxi - BSIII,2006.0,140000.0,70000.0,Petrol,Individual,Manual,Third Owner,14.0,Maruti
Maruti Swift VDI BSIV,2017.0,600000.0,80362.0,Diesel,Individual,Manual,First Owner,3.0,Maruti
Hyundai i20 1.2 Sportz,2012.0,280000.0,110000.0,Petrol,Individual,Manual,Third Owner,8.0,Hyundai
Chevrolet Beat Diesel LT,2012.0,150000.0,60000.0,Diesel,Individual,Manual,First Owner,8.0,Chevrolet
Chevrolet Cruze LTZ AT,2015.0,,50000.0,Diesel,Individual,Unknown,First Owner,5.0,Chevrolet
Nissan Micra XL,2014.0,210000.0,40000.0,Petrol,Individual,Manual,Second Owner,6.0,Nissan
BMW 5 Series 520d Luxury Line,2017.0,2900000.0,40000.0,Diesel,Individual,Automatic,First Owner,3.0,BMW
Unknown,2013.0,425000.0,20000.0,Diesel,Dealer,Manual,First Owner,7.0,Unknown
Hyundai EON Era Plus Option,,265000.0,55000.0,Petrol,Dealer,Manual,First Owner,,Hyundai
Fiat Linea T Jet Emotion,2018.0,890000.0,1136.0,Petrol,Dealer,Manual,First Owner,2.0,Fiat
Unknown,2013.0,365000.0,55000.0,Petrol,Dealer,Unknown,First Owner,7.0,Unknown
Ford Figo Petrol Titanium,2014.0,350000.0,43000.0,Petrol,Dealer,Manual,First Owner,6.0,Ford
Maruti Ciaz ZDi SHVS,2016.0,685000.0,,Diesel,Individual,Unknown,First Owner,4.0,Maruti
Skoda Rapid 1.5 TDI Ambition BSIV,,940000.0,2650.0,Diesel,Dealer,Manual,First Owner,,Skoda
Mahindra XUV500 W6 2WD,2017.0,1000000.0,40000.0,Diesel,Individual,Manual,First Owner,3.0,Mahindra
Mahindra XUV300 W8 Option,2019.0,1150000.0,,Petrol,Unknown,Manual,First Owner,1.0,Mahindra
Maruti Ertiga SHVS ZDI,2016.0,,115962.0,Diesel,Individual,Manual,Second Owner,4.0,Maruti
Nissan Terrano XE D,2015.0,590000.0,65000.0,Diesel,Dealer,Manual,First Owner,5.0,Nissan
Maruti S-Cross Facelift,2017.0,800000.0,40000.0,Unknown,Individual,Manual,First Owner,3.0,Maruti
Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000.0,58000.0,Unknown,Dealer,Manual,First Owner,8.0,Hyundai
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000.0,15000.0,Unknown,Individual,Automatic,First Owner,7.0,Mercedes-Benz
Hyundai EON Era Plus,2012.0,235000.0,54000.0,Petrol,Dealer,Manual,Unknown,8.0,Hyundai
Volkswagen Ameo 1.5 TDI Highline,2017.0,640000.0,56000.0,Diesel,Dealer,Manual,First Owner,3.0,Volkswagen
Maruti Alto LX,2006.0,52000.0,120000.0,Petrol,Individual,Manual,Third Owner,14.0,Maruti
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009.0,80000.0,90000.0,LPG,Individual,Manual,Second Owner,11.0,Maruti
Maruti Alto LX,,140000.0,70000.0,Petrol,Individual,Manual,Second Owner,,Maruti
Hyundai Verna i (Petrol),2008.0,120000.0,90000.0,Petrol,Individual,Manual,Unknown,12.0,Hyundai
Mahindra Renault Logan 1.5 DLS,2008.0,89999.0,213000.0,Diesel,Individual,Manual,First Owner,12.0,Mahindra
Chevrolet Optra Magnum 2.0 LS BSIII,2012.0,180000.0,120000.0,Diesel,Unknown,Manual,First Owner,8.0,Chevrolet
Mahindra Scorpio S11 BSIV,2017.0,1500000.0,20000.0,Diesel,Individual,Manual,First Owner,3.0,Mahindra
Hyundai i20 Active 1.2 SX,2017.0,700000.0,10000.0,Petrol,Individual,Manual,First Owner,3.0,Hyundai
Maruti SX4 Celebration Diesel,2012.0,285000.0,80000.0,Diesel,Individual,Manual,Second Owner,8.0,Maruti
Hyundai Grand i10 Magna,2015.0,390000.0,90000.0,Petrol,Individual,Unknown,First Owner,5.0,Hyundai
Maruti Alto LXi BSIII,2008.0,125000.0,80000.0,Petrol,Individual,Manual,First Owner,12.0,Maruti
Maruti SX4 Zxi with Leather BSIII,2008.0,225000.0,60000.0,Petrol,Unknown,Manual,Second Owner,12.0,Maruti
Hyundai i10 Era,2011.0,175000.0,139000.0,Petrol,Individual,Manual,Second Owner,9.0,Hyundai
Toyota Innova 2.5 V Diesel 7-seater,2011.0,1075000.0,160000.0,Diesel,Individual,Manual,Second Owner,9.0,Toyota
Honda Mobilio V i DTEC,2014.0,300000.0,150000.0,Diesel,Individual,Manual,First Owner,6.0,Honda
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010.0,700000.0,163000.0,Diesel,Individual,Manual,Fourth & Above Owner,10.0,Toyota
Unknown,2009.0,90000.0,120000.0,Diesel,Dealer,Manual,First Owner,11.0,Unknown
Tata Indica Vista TDI LS,2011.0,120000.0,,Diesel,Individual,Manual,Unknown,9.0,Tata
Chevrolet Beat Diesel LS,2012.0,220000.0,100000.0,Diesel,Individual,Manual,Second Owner,8.0,Chevrolet
Tata Zest Quadrajet 1.3 75PS XE,2015.0,300000.0,140000.0,Diesel,Dealer,Manual,First Owner,5.0,Tata
Skoda Fabia 1.2L Diesel Ambiente,2010.0,,87000.0,Diesel,Dealer,Manual,Second Owner,10.0,Skoda
Maruti 800 Std,2013.0,170000.0,70000.0,Petrol,Individual,Manual,First Owner,7.0,Maruti
